Name,Occurences,AvgLaunchAngle,MaxExitVelo,AvgExitVelo,ExitVeloFBLD,ExitVeloGB,MaxDist,AvgDist,AvgHRdist,HardHit95,HardHitPct,NumBarrels,BarrelPct,Barrels/PA
"Ramos, Wilson",304,4.4,113.3,91.3,95.4,89.2,447,150,396,144,47.4,23,7.6,5.5
,,,,,,,,,,,,,,
"Peralta, David",438,6.7,114.8,91.5,95.4,90,449,164,400,200,45.7,34,7.8,5.5
,,,,,,,,,,,,,,
"Hernandez, Enrique",333,15.5,110.4,88.2,92.7,85.9,431,178,401,121,36.3,25,7.5,5.4
,,,,,,,,,,,,,,
"Moncada, Yoan",365,15,113.1,90.6,94.3,87.1,433,191,397,161,44.1,35,9.6,5.4
,,,,,,,,,,,,,,
"Franco, Maikel",374,9.5,114.5,88.1,91.8,88,435,153,394,128,34.2,25,6.7,5.4
,,,,,,,,,,,,,,
"McCutchen, Andrew",431,13.4,110.9,90.1,94.2,86.2,427,179,387,180,41.8,36,8.4,5.3
,,,,,,,,,,,,,,
"Gattis, Evan",314,17.9,111.8,87.5,92,83.6,430,185,389,105,33.4,24,7.6,5.3
,,,,,,,,,,,,,,
"Altherr, Aaron",154,10.3,114.6,90.5,96.9,87.5,421,169,398,71,46.1,15,9.7,5.3
,,,,,,,,,,,,,,
"Gyorko, Jedd",278,15.2,107.7,87.3,92.2,81.8,425,181,390,87,31.3,21,7.6,5.2
,,,,,,,,,,,,,,
"Cabrera, Asdrubal",429,14.3,108.3,89.5,93.5,86.7,425,179,385,166,38.7,31,7.2,5.2
,,,,,,,,,,,,,,
"Arenado, Nolan",475,15.4,109.2,89.7,94.4,85.8,464,184,408,192,40.4,35,7.4,5.2
,,,,,,,,,,,,,,
"Stassi, Max",147,5.8,110.1,90,99,84,466,148,405,67,45.6,13,8.8,5.2
,,,,,,,,,,,,,,
"Cervelli, Francisco",254,15.7,110.2,88.4,93.6,83.7,428,183,383,101,39.8,21,8.3,5.2
,,,,,,,,,,,,,,
"Healy, Ryon",382,12.1,112,89.3,93.2,87.7,441,165,402,158,41.4,27,7.1,5.2
,,,,,,,,,,,,,,
"Hernandez, Gorkys",307,11.7,108.5,86.2,92.4,83.1,433,148,403,109,35.5,23,7.5,5.1
,,,,,,,,,,,,,,
"Castro, Starlin",475,8.4,109.4,88.5,91.9,87,427,154,400,171,36,33,6.9,5.1
,,,,,,,,,,,,,,
"Goodrum, Niko",314,10.8,110.8,87.7,91.6,84.4,418,176,387,111,35.4,25,8,5.1
,,,,,,,,,,,,,,
"Taylor, Chris",362,16.4,111.5,88.6,92.5,84.2,440,196,399,138,38.1,31,8.6,5.1
,,,,,,,,,,,,,,
"Diaz, Elias",215,10.4,112.2,89.6,91.6,90,420,163,396,87,40.5,14,6.5,5.1
,,,,,,,,,,,,,,
"Ramirez, Hanley",144,11.5,117.5,91.7,94.2,94.6,432,145,405,68,47.2,10,6.9,5.1
,,,,,,,,,,,,,,
"Andujar, Miguel",480,12.3,110.4,89.2,92.7,87.8,428,169,389,175,36.5,30,6.3,5
,,,,,,,,,,,,,,
"Pujols, Albert",403,14.2,112.1,90,93.6,88.8,430,179,399,164,40.7,25,6.2,5
,,,,,,,,,,,,,,
"Santana, Carlos",475,15.1,113.5,88.9,93.3,87.6,445,174,399,187,39.4,34,7.2,5
,,,,,,,,,,,,,,
"Dickerson, Corey",427,14.9,111.4,87.7,91.8,84.1,447,184,400,133,31.1,26,6.1,4.9
,,,,,,,,,,,,,,
"Bonifacio, Jorge",168,18.6,106.6,85.3,88.6,82.1,410,188,375,48,28.6,13,7.7,4.8
,,,,,,,,,,,,,,
"Gonzalez, Adrian",137,11.6,108.1,88.6,92.7,83.8,430,166,402,52,38,9,6.6,4.8
,,,,,,,,,,,,,,
"Souza Jr., Steven",166,16.2,109.8,88.7,91.9,87.7,450,179,401,66,39.8,13,7.8,4.8
,,,,,,,,,,,,,,
"Rizzo, Anthony",495,14.5,112.6,89.9,93.1,88,453,185,404,201,40.6,32,6.5,4.8
,,,,,,,,,,,,,,
"Contreras, Willson",357,6.8,114.1,87,92.9,83.5,435,155,392,119,33.3,26,7.3,4.8
,,,,,,,,,,,,,,
"Kipnis, Jason",422,17,107.4,86.1,90.5,81.6,417,191,382,129,30.6,28,6.6,4.7
,,,,,,,,,,,,,,
"Meadows, Austin",140,13.6,108.6,88.2,91.3,86.7,420,181,398,55,39.3,9,6.4,4.7
,,,,,,,,,,,,,,
"Benintendi, Andrew",482,12.6,109.5,88.4,91.9,84.8,437,182,394,161,33.4,31,6.4,4.7
,,,,,,,,,,,,,,
"Marisnick, Jake",131,17.6,111.7,84.9,90.7,77.7,428,192,401,41,31.3,11,8.4,4.7
,,,,,,,,,,,,,,
"Desmond, Ian",414,0,112,89.9,95.8,87.3,472,130,405,179,43.2,29,7,4.7
,,,,,,,,,,,,,,
"Odor, Rougned",354,11.7,112.6,87.8,95.1,81.9,447,177,403,135,38.1,25,7.1,4.7
,,,,,,,,,,,,,,
"Kepler, Max",439,16.1,112.7,89.5,93.9,86,427,189,395,165,37.6,29,6.6,4.7
,,,,,,,,,,,,,,
"Myers, Wil",219,9.2,112.9,90.3,95.5,85.7,450,171,402,100,45.7,16,7.3,4.7
,,,,,,,,,,,,,,
"Gordon, Alex",383,10.9,109,88.5,93.4,84.4,422,170,399,152,39.7,26,6.8,4.6
,,,,,,,,,,,,,,
"Beltre, Adrian",345,13.7,109.2,88.7,91.8,85.6,439,187,399,127,36.8,22,6.4,4.6
,,,,,,,,,,,,,,
"Blackmon, Charlie",495,11.8,110.4,87.2,91.2,83.7,447,173,406,174,35.2,32,6.5,4.6
,,,,,,,,,,,,,,
"Bell, Josh",402,9.2,115.6,89.9,94.1,88,432,160,402,155,38.6,27,6.7,4.6
,,,,,,,,,,,,,,
"Joyce, Matt",157,14.4,107.9,87.1,92.8,79.6,416,185,398,50,31.8,11,7,4.5
,,,,,,,,,,,,,,
"Gonzalez, Marwin",370,10,110.1,87.4,93.4,81.7,422,175,395,153,41.4,25,6.8,4.5
,,,,,,,,,,,,,,
"Altuve, Jose",459,9.5,112.4,86.4,92.4,81.3,443,158,399,155,33.8,27,5.9,4.5
,,,,,,,,,,,,,,
"Correa, Carlos",302,11.6,112.8,88.2,93.7,84.5,455,164,402,101,33.4,21,7,4.5
,,,,,,,,,,,,,,
"Williams, Nick",296,10.3,113.3,88.5,90.7,87.5,439,174,401,110,37.2,20,6.8,4.5
,,,,,,,,,,,,,,
"Winker, Jesse",237,13.2,114.1,90.2,95.4,86.7,438,173,389,100,42.2,15,6.3,4.5
,,,,,,,,,,,,,,
"Molina, Yadier",399,15.4,107.2,88.1,92.3,84.3,438,184,394,134,33.6,22,5.5,4.4
,,,,,,,,,,,,,,
"Mesoraco, Devin",193,20.6,109,86.6,92.1,82.9,416,172,393,55,28.5,12,6.2,4.4
,,,,,,,,,,,,,,
"Pillar, Kevin",420,16.5,111.1,87.1,90.9,85,440,181,390,153,36.4,24,5.7,4.4
,,,,,,,,,,,,,,
"Hosmer, Eric",472,-1.2,112.2,88.8,95,86.2,439,118,400,178,37.7,30,6.4,4.4
,,,,,,,,,,,,,,
"Frazier, Todd",304,18.6,114.1,89.5,93.7,87.5,437,194,395,110,36.2,21,6.9,4.4
,,,,,,,,,,,,,,
"Gonzalez, Carlos",353,9,118.3,89.4,92.2,88.8,473,160,420,138,39.1,22,6.2,4.4
,,,,,,,,,,,,,,
"Dozier, Brian",429,17.8,104.8,86.7,91.7,82.6,409,179,379,123,28.7,27,6.3,4.3
,,,,,,,,,,,,,,
"Votto, Joey",405,13.3,107.5,88.1,92.5,81.4,417,192,383,141,34.8,27,6.7,4.3
,,,,,,,,,,,,,,
"Hedges, Austin",214,15.8,108.2,85.4,92,80.5,421,179,393,64,29.9,14,6.5,4.3
,,,,,,,,,,,,,,
"Hundley, Nick",197,15.6,109.2,88.9,92.2,86.4,432,176,377,78,39.6,13,6.6,4.3
,,,,,,,,,,,,,,
"Bautista, Jose",215,19.4,111.9,90.8,95.3,88.5,429,193,393,92,42.8,17,7.9,4.3
,,,,,,,,,,,,,,
"Gennett, Scooter",467,13.3,108.5,86.7,91,82.5,420,179,377,149,31.9,27,5.8,4.2
,,,,,,,,,,,,,,
"Turner, Trea",534,8.3,112.3,87.8,92.5,84.9,427,157,396,206,38.6,31,5.8,4.2
,,,,,,,,,,,,,,
